"","census2019","covid.19.deaths","urban.rural.description","series_complete_pop_pct"
"546",25645,NA,"Medium central metro",58.6
"547",131228,630,"Small central metro",60.3
"548",26234,NA,"Micropolitan",64.6
"549",25062,NA,"Small central metro",60.1
"550",21175,NA,"Micropolitan",53.8
"551",19620,NA,"Micropolitan",68.2
"552",14439,NA,"Rural",57.6
"553",9668,NA,"Rural",59.8
"554",20165,NA,"Micropolitan",61.9
"555",12836,NA,"Micropolitan",58.2
"556",18627,NA,"Micropolitan",60.3
"557",42450,295,"Micropolitan",63.3
"558",11235,NA,"Micropolitan",53.2
"559",11933,NA,"Micropolitan",55.1
"560",9395,NA,"Micropolitan",55
"561",16016,NA,"Micropolitan",52
"562",17549,NA,"Rural",48
"563",46429,162,"Micropolitan",54.8
"564",16820,NA,"Micropolitan",54.1
"565",93453,108,"Medium central metro",67
"566",9000,NA,"Rural",36.9
"567",7870,NA,"Rural",41.2
"568",17011,NA,"Micropolitan",54.8
"569",38967,207,"Micropolitan",51.8
"570",17258,NA,"Micropolitan",58.5
"571",97311,387,"Small central metro",64.6
"572",9208,NA,"Micropolitan",52.6
"573",19650,NA,"Micropolitan",54.6
"574",15642,NA,"Micropolitan",53.2
"575",10070,NA,"Micropolitan",54.7
"576",6960,NA,"Rural",52.9
"577",8888,NA,"Micropolitan",58.6
"578",12232,NA,"Small central metro",62.2
"579",10689,NA,"Medium central metro",58.5
"580",14773,NA,"Micropolitan",63.7
"581",10630,NA,"Micropolitan",49.8
"582",16846,NA,"Micropolitan",56.2
"583",14049,NA,"Medium central metro",52.1
"584",19954,NA,"Micropolitan",54.1
"585",9158,NA,"Micropolitan",52
"586",9558,NA,"Micropolitan",50
"587",6860,NA,"Rural",49
"588",16184,NA,"Micropolitan",62.9
"589",19439,NA,"Micropolitan",53.2
"590",37185,NA,"Micropolitan",58.7
"591",18295,NA,"Micropolitan",48.2
"592",151140,660,"Small central metro",72.8
"593",20681,NA,"Medium central metro",58.7
"594",10246,NA,"Rural",46.7
"595",14813,NA,"Micropolitan",52
"596",33657,NA,"Micropolitan",51.3
"597",226706,804,"Medium central metro",66.8
"598",11035,NA,"Rural",53.1
"599",8600,NA,"Micropolitan",45.4
"600",11755,NA,"Rural",41.5
"601",16338,NA,"Medium central metro",54.2
"602",22095,NA,"Micropolitan",44.5
"603",33253,102,"Micropolitan",53.1
"604",39369,NA,"Micropolitan",66.2
"605",15109,NA,"Medium central metro",56.6
"606",10586,NA,"Micropolitan",48.9
"607",8615,NA,"Micropolitan",54
"608",7707,NA,"Micropolitan",46.4
"609",9917,NA,"Micropolitan",56.7
"610",42664,NA,"Micropolitan",61
"611",13753,NA,"Micropolitan",50.4
"612",5958,NA,"Micropolitan",45.3
"613",15107,NA,"Micropolitan",53.5
"614",8886,NA,"Micropolitan",51
"615",25177,NA,"Small central metro",52.7
"616",6619,NA,"Rural",52.4
"617",490161,1859,"Medium central metro",67.8
"618",93206,359,"Medium central metro",57.7
"619",18504,NA,"Micropolitan",58.6
"620",4894,NA,"Rural",52.6
"621",9721,NA,"Rural",52.9
"622",172943,524,"Medium central metro",61.1
"623",11454,NA,"Micropolitan",59.4
"624",34855,NA,"Micropolitan",41.8
"625",97117,179,"Small central metro",63.3
"626",16854,NA,"Micropolitan",62.8
"627",6121,NA,"Rural",47.1
"628",12241,NA,"Micropolitan",51.4
"629",7044,NA,"Rural",42.1
"630",34969,143,"Micropolitan",50.2
"631",51466,NA,"Medium central metro",60.1
"632",21965,NA,"Small central metro",56.8
"633",6441,NA,"Rural",42.1
"634",35904,229,"Micropolitan",57.7
"635",10354,NA,"Micropolitan",52.5
"636",19991,NA,"Micropolitan",62.7
"637",103107,563,"Small central metro",56.6
"638",7381,NA,"Rural",52.1
"639",12562,NA,"Micropolitan",57.7
"640",12369,NA,"Micropolitan",46.5
"641",7858,NA,"Micropolitan",43.4
"642",16073,NA,"Micropolitan",46.7
"643",4427,NA,"Rural",47.1
"644",25779,NA,"Micropolitan",43.4
"645",14534,NA,"Micropolitan",36.9
"646",9564,NA,"Micropolitan",61.1
"647",66911,126,"Medium central metro",48.8
"648",2648,NA,"Rural",46.5
"649",3250,NA,"Rural",41.3
"650",19939,NA,"Micropolitan",46.1
"651",2657,NA,"Rural",45.9
"652",1994,NA,"Rural",46.5
"653",8002,NA,"Micropolitan",60.6
"654",8786,NA,"Micropolitan",48
"655",8179,NA,"Micropolitan",53.5
"656",1700,NA,"Rural",46.1
"657",34908,121,"Micropolitan",48.5
"658",38818,195,"Micropolitan",47.2
"659",2827,NA,"Rural",40.5
"660",18466,NA,"Micropolitan",56.6
"661",7600,NA,"Small central metro",48.5
"662",122259,167,"Small central metro",62.3
"663",2798,NA,"Rural",48.8
"664",2530,NA,"Rural",34.1
"665",28553,188,"Micropolitan",49.8
"666",6102,NA,"Micropolitan",56.6
"667",36467,167,"Micropolitan",47
"668",33619,103,"Micropolitan",45.2
"669",25544,NA,"Micropolitan",51.4
"670",31670,NA,"Micropolitan",90
"671",2636,NA,"Rural",48.3
"672",2482,NA,"Rural",49.4
"673",7150,NA,"Micropolitan",47.6
"674",5988,NA,"Rural",46.3
"675",1232,NA,"Rural",51.5
"676",5982,NA,"Micropolitan",49.6
"677",2539,NA,"Rural",41.7
"678",5436,NA,"Rural",48.3
"679",34429,146,"Medium central metro",46.8
"680",3968,NA,"Rural",39.2
"681",1794,NA,"Rural",44.6
"682",13171,NA,"Small central metro",64.3
"683",19043,NA,"Small central metro",54.6
"684",2879,NA,"Rural",46.7
"685",602401,1558,"Large central metro",76
"686",3838,NA,"Rural",53.8
"687",7152,NA,"Medium central metro",47.2
"688",2475,NA,"Rural",51.3
"689",19618,102,"Micropolitan",49.6
"690",1535,NA,"Rural",43.1
"691",81758,NA,"Large central metro",59
"692",2962,NA,"Rural",44
"693",9703,NA,"Large central metro",35.5
"694",2794,NA,"Rural",47
"695",33195,108,"Micropolitan",57.7
"696",28542,NA,"Micropolitan",55.7
"697",11884,NA,"Micropolitan",49.2
"698",9707,NA,"Micropolitan",64.5
"699",4033,NA,"Rural",41.2
